SwimmerId,Name,Birth_Date,Age,Gender,Citizenship,Birth_Country,Residency_Years,Approving_Authority,Education_Level,Criminal_Record,Is_Disqualified,Vaccination_Status,Sponsor,Club,Region,Event,Time,Historical_Times,Is_Personal_Best,Is_Valid_Record,Overall_Rank,Top_5,Competition_Date,Competition_Level,Competition_Competition_Id,Competition_Country,Competition_Region,Competition_Pool_Type
SWM1810,Elite_Swimmer_SWM1810,1999-06-12,25,Women,CHN,CHN,25,,MBA,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_SHA,SHA,50m Butterfly,24.63,['24.63'],True,True,1,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM4299,Elite_Swimmer_SWM4299,1995-08-13,29,Men,GBR,GBR,29,,Bachelors,Minor Violation,False,Fully Vaccinated,Speedo,Club_MAN,MAN,50m Butterfly,24.68,['24.68'],True,True,2,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM3692,Elite_Swimmer_SWM3692,1997-08-21,27,Men,USA,CAN,6,FINA,Bachelors,None,False,Fully Vaccinated,TYR Sport,Club_CHI,CHI,50m Butterfly,24.87,['24.87'],True,True,3,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7187,Elite_Swimmer_SWM7187,1998-08-13,26,Men,CHN,CHN,26,,Bachelors,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SHA,SHA,50m Butterfly,25.30,['25.30'],True,True,4,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM8969,Elite_Swimmer_SWM8969,2005-10-26,19,Men,CAN,CAN,19,,Bachelors,None,False,Fully Vaccinated,Arena,Club_MTL,MTL,50m Butterfly,25.32,['25.32'],True,True,5,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7648,Elite_Swimmer_SWM7648,2011-12-03,13,Men,GBR,GBR,13,,High School,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_BIR,BIR,50m Butterfly,25.50,['25.50'],True,True,6,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM6353,Elite_Swimmer_SWM6353,2002-11-02,22,Women,JPN,GBR,8,FINA,Bachelors,Minor Violation,False,Fully Vaccinated,Arena,Club_TOK,TOK,50m Butterfly,26.12,['26.12'],True,True,7,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7648,Elite_Swimmer_SWM7648,2011-12-03,13,Men,GBR,GBR,13,,High School,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_BIR,BIR,100m Butterfly,49.19,['49.19'],True,True,1,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM2529,Elite_Swimmer_SWM2529,2008-07-06,16,Men,CAN,GBR,5,National Federation,High School,None,False,Fully Vaccinated,Nike Swimming,Club_VAN,VAN,100m Butterfly,49.42,['49.42'],True,True,2,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM3692,Elite_Swimmer_SWM3692,1997-08-21,27,Men,USA,CAN,6,FINA,Bachelors,None,False,Fully Vaccinated,TYR Sport,Club_CHI,CHI,100m Butterfly,49.75,['49.75'],True,True,3,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM6050,Elite_Swimmer_SWM6050,2005-04-22,19,Women,JPN,USA,10,FINA,Bachelors,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_TOK,TOK,100m Butterfly,50.04,['50.04'],True,True,4,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM1810,Elite_Swimmer_SWM1810,1999-06-12,25,Women,CHN,CHN,25,,MBA,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_SHA,SHA,100m Butterfly,50.54,['50.54'],True,True,5,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM6353,Elite_Swimmer_SWM6353,2002-11-02,22,Women,JPN,GBR,8,FINA,Bachelors,Minor Violation,False,Fully Vaccinated,Arena,Club_TOK,TOK,100m Butterfly,51.06,['51.06'],True,True,6,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM6638,Elite_Swimmer_SWM6638,2011-10-12,13,Women,CAN,CAN,13,,High School,Minor Violation,False,Fully Vaccinated,Speedo,Club_MTL,MTL,100m Butterfly,51.08,['51.08'],True,True,7,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM8969,Elite_Swimmer_SWM8969,2005-10-26,19,Men,CAN,CAN,19,,Bachelors,None,False,Fully Vaccinated,Arena,Club_MTL,MTL,100m Butterfly,51.26,['51.26'],True,True,8,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7187,Elite_Swimmer_SWM7187,1998-08-13,26,Men,CHN,CHN,26,,Bachelors,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SHA,SHA,100m Butterfly,52.06,['52.06'],True,True,9,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM6353,Elite_Swimmer_SWM6353,2002-11-02,22,Women,JPN,GBR,8,FINA,Bachelors,Minor Violation,False,Fully Vaccinated,Arena,Club_TOK,TOK,200m Butterfly,1:038.28,['1:038.28'],True,True,1,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM8969,Elite_Swimmer_SWM8969,2005-10-26,19,Men,CAN,CAN,19,,Bachelors,None,False,Fully Vaccinated,Arena,Club_MTL,MTL,200m Butterfly,1:040.85,['1:040.85'],True,True,2,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7648,Elite_Swimmer_SWM7648,2011-12-03,13,Men,GBR,GBR,13,,High School,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_BIR,BIR,200m Butterfly,1:043.03,['1:043.03'],True,True,3,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM3692,Elite_Swimmer_SWM3692,1997-08-21,27,Men,USA,CAN,6,FINA,Bachelors,None,False,Fully Vaccinated,TYR Sport,Club_CHI,CHI,200m Butterfly,1:043.34,['1:043.34'],True,True,4,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM1810,Elite_Swimmer_SWM1810,1999-06-12,25,Women,CHN,CHN,25,,MBA,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_SHA,SHA,200m Butterfly,1:043.73,['1:043.73'],True,True,5,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7326,Elite_Swimmer_SWM7326,1992-12-16,32,Women,JPN,JPN,32,,Bachelors,None,False,Fully Vaccinated,Nike Swimming,Club_TOK,TOK,200m Butterfly,1:043.80,['1:043.80'],True,True,6,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM9050,Elite_Swimmer_SWM9050,1995-12-28,29,Women,JPN,JPN,29,,MBA,None,False,Fully Vaccinated,Arena,Club_TOK,TOK,50m Freestyle,24.59,['24.59'],True,True,1,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM2529,Elite_Swimmer_SWM2529,2008-07-06,16,Men,CAN,GBR,5,National Federation,High School,None,False,Fully Vaccinated,Nike Swimming,Club_VAN,VAN,50m Freestyle,24.96,['24.96'],True,True,2,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7648,Elite_Swimmer_SWM7648,2011-12-03,13,Men,GBR,GBR,13,,High School,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_BIR,BIR,50m Freestyle,25.04,['25.04'],True,True,3,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM6638,Elite_Swimmer_SWM6638,2011-10-12,13,Women,CAN,CAN,13,,High School,Minor Violation,False,Fully Vaccinated,Speedo,Club_MTL,MTL,50m Freestyle,25.20,['25.20'],True,True,4,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM6050,Elite_Swimmer_SWM6050,2005-04-22,19,Women,JPN,USA,10,FINA,Bachelors,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_TOK,TOK,50m Freestyle,25.31,['25.31'],True,True,5,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7326,Elite_Swimmer_SWM7326,1992-12-16,32,Women,JPN,JPN,32,,Bachelors,None,False,Fully Vaccinated,Nike Swimming,Club_TOK,TOK,50m Freestyle,25.40,['25.40'],True,True,6,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM3692,Elite_Swimmer_SWM3692,1997-08-21,27,Men,USA,CAN,6,FINA,Bachelors,None,False,Fully Vaccinated,TYR Sport,Club_CHI,CHI,50m Freestyle,25.66,['25.66'],True,True,7,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM3501,Elite_Swimmer_SWM3501,2007-05-08,17,Women,USA,GBR,6,Regional Authority,High School,Minor Violation,False,Fully Vaccinated,Arena,Club_NYC,NYC,50m Freestyle,25.72,['25.72'],True,True,8,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM1810,Elite_Swimmer_SWM1810,1999-06-12,25,Women,CHN,CHN,25,,MBA,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_SHA,SHA,50m Freestyle,25.91,['25.91'],True,True,9,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7187,Elite_Swimmer_SWM7187,1998-08-13,26,Men,CHN,CHN,26,,Bachelors,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SHA,SHA,50m Freestyle,26.23,['26.23'],True,True,10,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM8969,Elite_Swimmer_SWM8969,2005-10-26,19,Men,CAN,CAN,19,,Bachelors,None,False,Fully Vaccinated,Arena,Club_MTL,MTL,50m Freestyle,26.23,['26.23'],True,True,11,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM6050,Elite_Swimmer_SWM6050,2005-04-22,19,Women,JPN,USA,10,FINA,Bachelors,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_TOK,TOK,100m Freestyle,49.41,['49.41'],True,True,1,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM9585,Elite_Swimmer_SWM9585,2012-07-19,12,Women,CAN,CAN,12,,High School,Minor Violation,False,Fully Vaccinated,Arena,Club_VAN,VAN,100m Freestyle,49.46,['49.46'],True,True,2,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7326,Elite_Swimmer_SWM7326,1992-12-16,32,Women,JPN,JPN,32,,Bachelors,None,False,Fully Vaccinated,Nike Swimming,Club_TOK,TOK,100m Freestyle,49.60,['49.60'],True,True,3,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM2529,Elite_Swimmer_SWM2529,2008-07-06,16,Men,CAN,GBR,5,National Federation,High School,None,False,Fully Vaccinated,Nike Swimming,Club_VAN,VAN,100m Freestyle,49.89,['49.89'],True,True,4,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM3692,Elite_Swimmer_SWM3692,1997-08-21,27,Men,USA,CAN,6,FINA,Bachelors,None,False,Fully Vaccinated,TYR Sport,Club_CHI,CHI,100m Freestyle,50.36,['50.36'],True,True,5,Yes,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM7648,Elite_Swimmer_SWM7648,2011-12-03,13,Men,GBR,GBR,13,,High School,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_BIR,BIR,100m Freestyle,50.80,['50.80'],True,True,6,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM3501,Elite_Swimmer_SWM3501,2007-05-08,17,Women,USA,GBR,6,Regional Authority,High School,Minor Violation,False,Fully Vaccinated,Arena,Club_NYC,NYC,100m Freestyle,50.81,['50.81'],True,True,7,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM9050,Elite_Swimmer_SWM9050,1995-12-28,29,Women,JPN,JPN,29,,MBA,None,False,Fully Vaccinated,Arena,Club_TOK,TOK,100m Freestyle,51.11,['51.11'],True,True,8,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
SWM8969,Elite_Swimmer_SWM8969,2005-10-26,19,Men,CAN,CAN,19,,Bachelors,None,False,Fully Vaccinated,Arena,Club_MTL,MTL,100m Freestyle,51.27,['51.27'],True,True,9,No,2024-03-23 16:00:26.502084,Local,LOC_002,GBR,MAN,25m
