SwimmerId,Name,Birth_Date,Age,Gender,Citizenship,Birth_Country,Residency_Years,Approving_Authority,Education_Level,Criminal_Record,Is_Disqualified,Vaccination_Status,Sponsor,Club,Region,Event,Time,Historical_Times,Is_Personal_Best,Is_Valid_Record,Overall_Rank,Top_5,Competition_Date,Competition_Level,Competition_Competition_Id,Competition_Country,Competition_Region,Competition_Pool_Type
SWM6353,Elite_Swimmer_SWM6353,2002-11-02,22,Women,JPN,GBR,8,FINA,Bachelors,Minor Violation,False,Fully Vaccinated,Arena,Club_TOK,TOK,50m Butterfly,24.58,"['26.12', '24.58']",True,True,1,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM3692,Elite_Swimmer_SWM3692,1997-08-21,27,Men,USA,CAN,6,FINA,Bachelors,None,False,Fully Vaccinated,TYR Sport,Club_CHI,CHI,50m Butterfly,24.58,"['24.87', '24.58']",True,True,2,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM3642,Elite_Swimmer_SWM3642,1992-06-02,32,Women,JPN,JPN,32,,Bachelors,Minor Violation,False,Fully Vaccinated,Arena,Club_OSA,OSA,50m Butterfly,24.90,['24.90'],True,True,3,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM8969,Elite_Swimmer_SWM8969,2005-10-26,19,Men,CAN,CAN,19,,Bachelors,None,False,Fully Vaccinated,Arena,Club_MTL,MTL,50m Butterfly,25.41,"['25.32', '25.41']",False,True,4,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM1810,Elite_Swimmer_SWM1810,1999-06-12,25,Women,CHN,CHN,25,,MBA,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_SHA,SHA,50m Butterfly,25.45,"['24.63', '25.45']",False,True,5,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM3501,Elite_Swimmer_SWM3501,2007-05-08,17,Women,USA,GBR,6,Regional Authority,High School,Minor Violation,False,Fully Vaccinated,Arena,Club_NYC,NYC,50m Butterfly,25.81,['25.81'],True,True,6,No,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM7648,Elite_Swimmer_SWM7648,2011-12-03,13,Men,GBR,GBR,13,,High School,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_BIR,BIR,50m Butterfly,26.13,"['25.50', '26.13']",False,True,7,No,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM3642,Elite_Swimmer_SWM3642,1992-06-02,32,Women,JPN,JPN,32,,Bachelors,Minor Violation,False,Fully Vaccinated,Arena,Club_OSA,OSA,100m Butterfly,49.14,['49.14'],True,True,1,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM7187,Elite_Swimmer_SWM7187,1998-08-13,26,Men,CHN,CHN,26,,Bachelors,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SHA,SHA,100m Butterfly,49.54,"['52.06', '49.54']",True,True,2,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM3692,Elite_Swimmer_SWM3692,1997-08-21,27,Men,USA,CAN,6,FINA,Bachelors,None,False,Fully Vaccinated,TYR Sport,Club_CHI,CHI,100m Butterfly,49.68,"['49.75', '49.68']",True,True,3,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM5727,Elite_Swimmer_SWM5727,1991-04-10,33,Men,JPN,JPN,33,,MBA,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_OSA,OSA,100m Butterfly,49.92,['49.92'],True,True,4,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM4229,Elite_Swimmer_SWM4229,2004-01-12,21,Women,CHN,AUS,5,National Federation,Bachelors,Minor Violation,False,Fully Vaccinated,Arena,Club_SHA,SHA,100m Butterfly,49.93,['49.93'],True,True,5,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM8969,Elite_Swimmer_SWM8969,2005-10-26,19,Men,CAN,CAN,19,,Bachelors,None,False,Fully Vaccinated,Arena,Club_MTL,MTL,100m Butterfly,50.22,"['51.26', '50.22']",True,True,6,No,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM1810,Elite_Swimmer_SWM1810,1999-06-12,25,Women,CHN,CHN,25,,MBA,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_SHA,SHA,100m Butterfly,50.57,"['50.54', '50.57']",False,True,7,No,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM6353,Elite_Swimmer_SWM6353,2002-11-02,22,Women,JPN,GBR,8,FINA,Bachelors,Minor Violation,False,Fully Vaccinated,Arena,Club_TOK,TOK,100m Butterfly,51.03,"['51.06', '51.03']",True,True,8,No,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM7648,Elite_Swimmer_SWM7648,2011-12-03,13,Men,GBR,GBR,13,,High School,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_BIR,BIR,100m Butterfly,51.96,"['49.19', '51.96']",False,True,9,No,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM3976,Elite_Swimmer_SWM3976,2010-01-14,15,Women,AUS,AUS,15,,High School,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SYD,SYD,200m Butterfly,1:038.49,['1:038.49'],True,True,1,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM7648,Elite_Swimmer_SWM7648,2011-12-03,13,Men,GBR,GBR,13,,High School,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_BIR,BIR,200m Butterfly,1:040.95,"['1:043.03', '1:040.95']",True,True,2,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM8969,Elite_Swimmer_SWM8969,2005-10-26,19,Men,CAN,CAN,19,,Bachelors,None,False,Fully Vaccinated,Arena,Club_MTL,MTL,200m Butterfly,1:041.50,"['1:040.85', '1:041.50']",False,True,3,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM3692,Elite_Swimmer_SWM3692,1997-08-21,27,Men,USA,CAN,6,FINA,Bachelors,None,False,Fully Vaccinated,TYR Sport,Club_CHI,CHI,200m Butterfly,1:041.65,"['1:043.34', '1:041.65']",True,True,4,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM1810,Elite_Swimmer_SWM1810,1999-06-12,25,Women,CHN,CHN,25,,MBA,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_SHA,SHA,200m Butterfly,1:042.56,"['1:043.73', '1:042.56']",True,True,5,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM6638,Elite_Swimmer_SWM6638,2011-10-12,13,Women,CAN,CAN,13,,High School,Minor Violation,False,Fully Vaccinated,Speedo,Club_MTL,MTL,200m Butterfly,1:042.69,['1:042.69'],True,True,6,No,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM6353,Elite_Swimmer_SWM6353,2002-11-02,22,Women,JPN,GBR,8,FINA,Bachelors,Minor Violation,False,Fully Vaccinated,Arena,Club_TOK,TOK,200m Butterfly,1:044.29,"['1:038.28', '1:044.29']",False,True,7,No,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM2529,Elite_Swimmer_SWM2529,2008-07-06,16,Men,CAN,GBR,5,National Federation,High School,None,False,Fully Vaccinated,Nike Swimming,Club_VAN,VAN,50m Freestyle,24.82,"['24.96', '24.82']",True,True,1,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM7648,Elite_Swimmer_SWM7648,2011-12-03,13,Men,GBR,GBR,13,,High School,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_BIR,BIR,50m Freestyle,24.93,"['25.04', '24.93']",True,True,2,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
SWM7187,Elite_Swimmer_SWM7187,1998-08-13,26,Men,CHN,CHN,26,,Bachelors,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SHA,SHA,50m Freestyle,24.99,"['26.23', '24.99']",True,True,3,Yes,2024-03-30 16:00:26.502084,Province,PRO_002,GBR,BIR,25m
