SwimmerId,Name,Birth_Date,Age,Gender,Citizenship,Birth_Country,Residency_Years,Approving_Authority,Education_Level,Criminal_Record,Is_Disqualified,Vaccination_Status,Sponsor,Club,Region,Event,Time,Historical_Times,Is_Personal_Best,Is_Valid_Record,Overall_Rank,Top_5,Competition_Date,Competition_Level,Competition_Competition_Id,Competition_Country,Competition_Region,Competition_Pool_Type
SWM5727,Elite_Swimmer_SWM5727,1991-04-10,33,Men,JPN,JPN,33,,MBA,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_OSA,OSA,50m Butterfly,24.68,['24.68'],True,True,1,Yes,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
SWM3976,Elite_Swimmer_SWM3976,2010-01-14,15,Women,AUS,AUS,15,,High School,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SYD,SYD,50m Butterfly,24.70,['24.70'],True,True,2,Yes,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
SWM9797,Elite_Swimmer_SWM9797,1994-02-20,31,Men,USA,USA,31,,MBA,Minor Violation,False,Fully Vaccinated,Speedo,Club_LA,LA,50m Butterfly,24.74,['24.74'],True,True,3,Yes,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
SWM7739,Elite_Swimmer_SWM7739,2007-02-19,18,Women,GBR,GBR,18,,Bachelors,Minor Violation,False,Fully Vaccinated,Speedo,Club_LON,LON,50m Butterfly,24.91,['24.91'],True,True,4,Yes,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
SWM3209,Elite_Swimmer_SWM3209,1991-11-30,33,Men,CAN,CAN,33,,MBA,None,False,Fully Vaccinated,Nike Swimming,Club_MTL,MTL,50m Butterfly,25.00,['25.00'],True,True,5,Yes,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
SWM7648,Elite_Swimmer_SWM7648,2011-12-03,13,Men,GBR,GBR,13,,High School,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_BIR,BIR,50m Butterfly,25.27,"['25.50', '26.13', '26.04', '25.51', '25.27']",True,True,6,No,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
SWM1810,Elite_Swimmer_SWM1810,1999-06-12,25,Women,CHN,CHN,25,,MBA,Minor Violation,False,Fully Vaccinated,TYR Sport,Club_SHA,SHA,50m Butterfly,25.30,"['24.63', '25.45', '25.20', '26.00', '24.77', '25.30']",False,True,7,No,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
SWM3692,Elite_Swimmer_SWM3692,1997-08-21,27,Men,USA,CAN,6,FINA,Bachelors,None,False,Fully Vaccinated,TYR Sport,Club_CHI,CHI,50m Butterfly,25.56,"['24.87', '24.58', '25.54', '25.82', '25.56']",False,True,8,No,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
SWM5160,Elite_Swimmer_SWM5160,2012-03-26,12,Men,JPN,GBR,2,National Federation,High School,None,False,Fully Vaccinated,Arena,Club_TOK,TOK,50m Butterfly,25.66,['25.66'],True,True,9,No,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
SWM8969,Elite_Swimmer_SWM8969,2005-10-26,19,Men,CAN,CAN,19,,Bachelors,None,False,Fully Vaccinated,Arena,Club_MTL,MTL,50m Butterfly,25.73,"['25.32', '25.41', '24.61', '24.95', '25.09', '25.73']",False,True,10,No,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
SWM3642,Elite_Swimmer_SWM3642,1992-06-02,32,Women,JPN,JPN,32,,Bachelors,Minor Violation,False,Fully Vaccinated,Arena,Club_OSA,OSA,50m Butterfly,25.87,"['24.90', '25.87']",False,True,11,No,2024-04-16 16:00:26.502084,National,NAT_002,JPN,OSA,50m
