id,name,age,gender,citizenship,birth_country,residency_years,approving_authority,criminal_record,is_disqualified,vaccination_status,sponsor,club,region,Birth_Date,Education_Level,Stroke,Rank1_Count,Rank2_Count,Rank3_Count,Rank4_Count,Rank5_Count,Historical_Records
SWM5109,Elite_Swimmer_SWM5109,14,Men,GBR,GBR,14,,Major Violation,True,Fully Vaccinated,Speedo,Club_LON,LON,2010-12-10,High School,Butterfly,0,0,0,0,0,"{50: [], 100: [], 200: []}"
SWM5109,Elite_Swimmer_SWM5109,14,Men,GBR,GBR,14,,Major Violation,True,Fully Vaccinated,Speedo,Club_LON,LON,2010-12-10,High School,Freestyle,0,0,0,0,0,"{50: [], 100: [], 200: [], 400: [], 800: [], 1500: []}"
SWM5109,Elite_Swimmer_SWM5109,14,Men,GBR,GBR,14,,Major Violation,True,Fully Vaccinated,Speedo,Club_LON,LON,2010-12-10,High School,Backstroke,0,0,0,0,0,"{50: [], 100: [], 200: []}"
SWM5109,Elite_Swimmer_SWM5109,14,Men,GBR,GBR,14,,Major Violation,True,Fully Vaccinated,Speedo,Club_LON,LON,2010-12-10,High School,Breaststroke,0,0,0,0,0,"{50: [], 100: [], 200: []}"
SWM5109,Elite_Swimmer_SWM5109,14,Men,GBR,GBR,14,,Major Violation,True,Fully Vaccinated,Speedo,Club_LON,LON,2010-12-10,High School,Individual Medley,0,0,0,0,0,"{200: [], 400: []}"
SWM7187,Elite_Swimmer_SWM7187,26,Men,CHN,CHN,26,,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SHA,SHA,1998-08-13,Bachelors,Butterfly,10,4,6,5,5,"{50: [25.300004016729083, 25.78521978708968, 25.44631602163025, 25.132804057879092, 25.35865422184285, 26.123396111672665, 25.93596780771988, 26.16821720714812, 24.996142532480413, 25.727503666100116, 25.730302605754908, 25.15355755157071, 25.38682079996308, 24.611302665255167, 24.522947694888884, 24.522072184474293], 100: [52.06394629961074, 49.53704325955188, 49.446754992695205, 49.05133115667386, 50.75886679889594, 49.35318509111815, 51.164928080402724, 51.98625417089164, 50.45984117122231, 52.36865176059104, 49.456483403887276, 51.3249116036923, 51.791590879891125, 51.796287147240896, 49.432289220632676, 51.678637215618984], 200: [100.7780299569113, 101.88503193536005, 102.20170364410595, 98.07389000491003, 103.72016998298412, 100.16917041876812, 98.26549363154301, 102.4583310232718, 102.74991034227712, 98.23192115893889, 100.3804601467526, 100.18775639903106, 100.47927950205042]}"
SWM7187,Elite_Swimmer_SWM7187,26,Men,CHN,CHN,26,,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SHA,SHA,1998-08-13,Bachelors,Freestyle,47,44,38,48,41,"{50: [25.83306034885559, 24.527611533455428, 24.806755049882227, 24.735581539105265, 25.85245434181444, 26.08009013738585, 25.03945401543358, 24.81315175183147, 25.922206019742116, 24.77141467879376, 25.689910260580064, 24.959064539133898, 26.09436216701544, 25.050423487501195, 24.946950521160936, 25.553873045717957, 25.274306007122014, 24.808249051295313, 26.24013515867315, 26.00481001503867, 25.757081082545746, 25.95026793425837, 25.687088812941372, 25.030923756311218, 25.066887851784987, 25.63231463367217, 25.12749497119417, 25.55689534759498, 24.573459306951705, 25.339041904256465, 25.10960929582076, 26.01127364881381, 25.657754191916222, 24.569525501109432, 24.692536115045645, 25.07809188331513, 26.231707204204362, 24.872332633708318, 25.68252979303889, 25.730233476309294, 26.015325697475344, 25.519429155432462, 24.655796699077243, 24.664515284102183, 24.750292352869177, 25.80280524903889, 24.906017091759498, 25.31543203736654, 25.762065507805517, 24.85125148991984], 100: [51.361849164365545, 52.13890640408443, 49.11686291851286, 51.17691525021333, 51.86736096750344, 49.765589488219284, 50.22669027747533, 51.94277092270594, 51.718593658840476, 50.91094938556843, 51.852625039697244, 51.70314691649255, 51.63379704710639, 50.55524286982486, 51.352810605079135, 52.486508769939235, 49.417003821065904, 49.71892596538293, 51.62525042919728, 50.85491303614952, 50.06382731831391, 50.7988605455428, 49.31528874331217, 51.22048271054046, 52.4904236240958, 50.20009360646244, 50.353028363491205, 51.292467531705135, 50.042699543584625, 52.421073011156324, 49.80494479522099, 52.30952860504377, 50.329235752411606, 51.690432524179556, 51.53912622241403, 49.47019364448108, 50.054620540341965, 49.437895232182065, 50.62101796577348, 51.39812344155793, 49.90554042815105, 51.82413970087802, 51.597019152284965, 50.38832904758762, 52.29227698878675, 49.21448990555835, 51.560167804622104, 50.20663309311183, 49.88763864358418, 51.60565475418885], 200: [101.43930545937071, 104.59128415532959, 104.4368424663725, 100.13416187753855, 98.72714553866928, 98.08673221447486, 99.81771605900217, 103.51576507858549, 100.54082526272711, 99.43268981064806, 98.21819985500545, 102.98476177925852, 98.88021863493385, 104.95480747348986, 101.69939484514678, 101.36460671201677, 102.14019098186785, 102.67944060683602, 102.45246366605487, 98.72586732732091, 99.7927593403382, 102.03205497050905, 101.05413787155817, 99.66372171686469, 104.22737475069381, 103.40582074631021, 102.14119901531396, 104.52488984833504, 100.70837022043216, 102.55389221854585, 103.55740562691862, 99.86785168605411, 102.99064639504833, 103.15854012949049, 98.3873303015808, 98.4433482736631, 104.42056479682378, 98.72305744664132, 103.77771850994624, 100.53378541374597, 102.16284944217193, 101.35963142147439, 99.39186441356263, 101.42868139268748, 103.26168590436295, 99.6500114810166, 100.53355977007688, 103.85538101295926, 102.25061792750371, 104.83020309554483], 400: [205.42048396545906, 206.0613339474006, 198.21083294869527, 197.54370065078044, 207.1820453812684, 196.3777181867808, 202.4176692713124, 202.03423070506088, 199.26664272117617, 205.73577894786666, 209.25577153061826, 202.8028710299456, 196.84354398560887, 197.28514889578372, 202.6575195262299, 205.53602076535776, 208.37045162161144, 201.17480179230935, 199.15622948290493, 205.95295694545496, 206.52811578999263, 205.93566958921113, 200.9276365930559, 209.85752010277295, 204.7900965259726, 197.159843305107, 207.54240903656688, 199.89597114466622, 199.00670681032852, 201.14490687536, 198.033080401544, 198.35829714209729, 198.4924956044142, 209.86626712536628, 202.3257102705396, 199.97442958601246, 204.67485129015023, 199.12212862958359, 207.7938841032976, 198.33245553334916, 201.90871801553624, 209.00215288762985, 199.4204069266631, 201.0582840584298, 202.91338128633552, 203.39622149100714, 198.13757884358733, 207.3189089199859, 203.4230651682155, 202.54782043163075], 800: [401.10680313623243, 397.3427418804644, 419.84124228960394, 404.1002095958586, 402.5295489222166, 393.30294310371295, 415.7205170832801, 403.07494169205415, 394.4876291373939, 403.552363715581, 398.5151672085403, 404.0199734938435, 399.54295497478296, 401.91685047288155, 399.11300266432914, 393.6679286418184, 419.5018907708361, 403.32454225969974, 414.37326494013564, 405.3272459912031, 392.33293423018296, 416.9750272103612, 418.6710175539867, 417.99340478431384, 418.65461370590856, 394.1476296657465, 402.27982295002187, 400.4066075075282, 415.9943059179959, 415.93551167344333, 411.8719143509004, 412.684077676733, 401.1382220019865, 405.4421808832447, 414.26744363748116, 418.96473099803603, 403.8237005023403, 412.8219802575284, 400.4471273049227, 410.3788034748108, 408.53107359391475, 415.4519270002993, 406.5141226065328, 396.8368908473694, 413.98736260724905, 401.56387340440807, 396.6513703201672, 396.9087669456223, 395.12958966660926, 408.42461738040726], 1500: [764.3426748079105, 762.5874376720967, 784.1024679961196, 750.3056376969329, 742.2272174295979, 781.922740056845, 737.6390817806941, 778.2471428882262, 767.9495586421785, 749.2816872846837, 753.0554185547143, 780.1935229283121, 781.4320057082621, 756.0725124476455, 736.5653469708787, 741.994505297311, 771.3489440689668, 768.9567819112912, 741.2380837885634, 775.8653839474686, 761.8255869269093, 772.9672818877913, 752.9427505709795, 753.6094062687226, 752.4611604281787, 737.0662519861085, 766.8032901769304, 757.4559165106857, 755.5080674027316, 786.1886262125166, 783.1297272083776, 756.7578597322757, 786.8192807890019, 753.5910910282851, 765.9152178290025, 744.816617450329, 761.4537879772212, 757.2119692378236, 742.0579668194678, 778.9567347584186, 759.7000496855841, 736.7361588839041, 777.1547314085279, 769.8829984912998, 768.0278460277017, 778.9045643506549, 775.3120187550944, 783.9113014029335, 751.9777476477067, 742.9302401645622]}"
SWM7187,Elite_Swimmer_SWM7187,26,Men,CHN,CHN,26,,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SHA,SHA,1998-08-13,Bachelors,Backstroke,4,4,8,5,4,"{50: [24.704229512281998, 25.568994440412833, 25.067316738323232, 24.795976158255343, 25.612232121984047, 24.749309794376607, 25.483823764385193, 25.91000428080519, 25.29755010145105, 25.296857623254542, 26.180314304443563, 26.224167668029764, 25.973714788866083, 24.803614777270873, 25.63424560106517, 26.12783341041306, 24.726164519861527, 25.107782952492457, 24.558992496705272, 25.194389001527913], 100: [49.41467874672806, 49.24414997735178, 50.963342151478926, 51.908285631558, 50.889397826445716, 50.86442059630839, 52.1727807513657, 49.45712992674692, 49.12478740552509, 51.02912356693153, 51.96982636601572, 51.25315070952509, 49.130117400966775, 51.56811678802663, 50.66271327408446, 50.043118326148075, 49.95362463989536, 52.32378083708809], 200: [98.97295829379138, 102.83582449568442, 102.43550543823297, 102.61124683281018, 101.03434799876942, 98.68578379905398, 99.75026460735783, 99.59973709673471, 100.17854963578121, 102.76861241391701, 99.61235948458868, 99.88595487705356, 98.4436135587965, 100.9934094806374, 101.31057376362445, 100.49964797469279, 100.6269771594434, 100.576679264919, 101.42193628652656, 100.00811301388157]}"
SWM7187,Elite_Swimmer_SWM7187,26,Men,CHN,CHN,26,,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SHA,SHA,1998-08-13,Bachelors,Breaststroke,20,14,18,29,30,"{50: [25.34578871868696, 25.852391932311214, 25.182534432341154, 25.705339390284642, 24.69525915137484, 25.51151227898637, 24.505745998124635, 25.114399273496684, 25.783434429676927, 25.650964993979024, 25.56477856511652, 25.616296219362155, 24.61729354653682, 25.39635907887797, 25.78378041199719, 25.516470860160766, 24.501708965554045, 24.506910669261735, 25.9858281826265, 24.926015827449078, 25.206500968999755, 25.629610973486894, 25.574004601501432, 25.203615679519253, 26.153765926554662, 25.022351808672934, 25.324880628827145, 25.26430859962579, 25.95578969898545, 25.432877657482788, 24.978722855925447, 25.981295496914235, 25.262219703364075, 25.417775503391383, 25.525290583986017, 26.249965346867338, 26.055076007281247, 25.97933039249975, 25.593268582218837, 26.136183294886145, 25.285138933013407, 25.62175438330156, 25.368480011756837, 26.221649749027087, 25.082658350910236, 26.058244302864107, 25.789386923034264, 25.977203757661073, 26.14808836244173, 24.87650120175479], 100: [49.84095799630543, 50.379979135104826, 51.834990288255355, 50.070153764314895, 49.98349160695647, 50.494678043455465, 50.4812078576224, 49.992029803605554, 52.09039365522341, 49.670335697359555, 49.07910631569259, 52.17112944007476, 50.63648907383104, 49.60787801907347, 50.80190797313383, 50.17185760078452, 51.27035237161237, 49.92598653811323, 49.66441670508444, 52.196204867203846, 51.03971857053775, 49.41462162993171, 49.529400748371884, 52.268719254802356, 51.87031030449846, 51.02179899662599, 49.9675633044829, 49.444796786762055, 49.36140520656826, 50.08660129860121, 49.9711841894752, 50.12634750081568, 52.356217272119586, 49.756484032038514, 50.63133959142826, 52.249792938762276, 52.365795007534686, 52.183863269168654, 50.78580768000837, 51.3441097489979, 51.74443037742178, 50.328584021454546, 51.77375442245561, 49.90166586335539, 50.8504595280578, 51.88256475026962, 49.55075913297562, 52.40888805875675, 51.419138211070226, 52.052409417506325], 200: [98.32727216810288, 104.9813969608907, 103.43039248310284, 101.52003033178632, 102.89268813075793, 101.63308686114041, 101.15106829154648, 101.57643025559464, 103.91496634924975, 100.59877340911218, 104.20190457727915, 102.10098141802806, 103.86919427021479, 100.07672842758406, 98.77092615096862, 98.37643635209132, 98.28891801181587, 104.90366497945945, 99.88398001128066, 101.65313046435904, 100.79647983484952, 104.11995279656377, 99.9380745147226, 99.73672082105539, 102.86569547526125, 99.48440112037062, 102.89094068960611, 100.56102899119752, 101.33308344534535, 101.72086787637804, 103.94946588835599, 103.05617493439749, 104.6645064919785, 102.7470776351095, 102.44594180366666, 98.26480933477997, 103.5036330536527, 100.69506279809401, 103.70148653928118, 102.83906113218298, 100.0296023575714, 100.40986101860507, 100.99659886669514, 100.17678229066456, 100.53300754748255, 103.2979464604634, 99.99768174944835, 99.4694925228632, 102.51675363114691, 98.28287810285953]}"
SWM7187,Elite_Swimmer_SWM7187,26,Men,CHN,CHN,26,,Minor Violation,False,Fully Vaccinated,Nike Swimming,Club_SHA,SHA,1998-08-13,Bachelors,Individual Medley,21,8,24,14,22,"{200: [104.04517846143992, 103.76067502844195, 100.71390470953831, 102.43601551925512, 102.86503547188161, 99.70303013512374, 103.13781878545146, 104.57942971932891, 104.19639376600011, 102.00751889574613, 100.44794521022669, 100.96725783921225, 100.45633390370566, 104.71788565541296, 104.59146493568947, 102.79467827918232, 99.85546226333697, 104.65166684421729, 98.1167422011593, 99.12450947267462, 99.88700511286666, 99.97767098104858, 101.76439350155735, 98.404636808491, 104.95643001100419, 101.40307654191582, 99.90348538681374, 103.22159413021951, 104.7175836268523, 100.12180168355025, 104.62404664769235, 104.8788761540354, 99.68743054950569, 104.49054251721557, 99.25069673873365, 100.86236737728886, 99.29921973592438, 100.478524679373, 101.49176147915497, 101.90645635397364, 99.47511212848065, 98.90887574716454, 104.48272221545113, 101.02140207140894, 99.01752518312496, 103.76686118559044, 98.7579686309925, 101.39569687135304, 101.6681048112579, 100.6233479365489], 400: [204.5145691303615, 196.20095099699896, 204.72176648864945, 201.1274985713339, 200.17395767771254, 197.83006439158834, 206.58598682300507, 198.34789577281114, 206.6556428660707, 198.6268114893305, 196.16050614116116, 196.84745246846077, 199.60074627424444, 207.09731881397823, 199.04960769522145, 199.39869711793907, 208.5048860541046, 207.61704122783456, 205.26732739986846, 203.0568310931884, 196.67639117175958, 198.22192150691268, 205.46633270189923, 199.7575721447155, 206.2319693463959, 200.60319970372436, 204.18341042642675, 200.16554941079013, 204.16112819503408, 207.67751492189367, 204.4123634715413, 205.0147012511374, 201.33140147387354, 197.09695283235737, 205.1749102091501, 206.5629157657594, 201.78675166506758, 200.57369776832087, 209.7431458656088, 197.30657126934736, 197.38949253191157, 207.0586296395727, 196.3816174807142, 207.185784214082, 201.58952979122188, 202.3553615959714, 201.21927941926208, 199.27697531239042, 207.67427919526068, 205.36904908813977]}"
